subject_drugbank_id,affected_drugbank_id
DB00022,DB00959
DB00022,DB00970
DB00022,DB00987
DB00022,DB01005
DB00022,DB01008
DB00022,DB01024
DB00022,DB01030
DB00022,DB01033
DB00022,DB01041
DB00022,DB01042
DB00022,DB01073
DB00022,DB01099
DB00022,DB01108
DB00022,DB01168
DB00022,DB01169
DB00022,DB01177
DB00022,DB01181
DB00022,DB01196
DB00022,DB01204
DB00022,DB01206
DB00022,DB01222
DB00022,DB01229
DB00022,DB01234
DB00022,DB01248
DB00022,DB01257
DB00022,DB01262
DB00022,DB01268
DB00022,DB01280
DB00022,DB01281
DB00022,DB01285
DB00022,DB01380
DB00022,DB01384
DB00022,DB01410
DB00022,DB01423
DB00022,DB01590
DB00022,DB01611
DB00022,DB01816
DB00022,DB02546
DB00022,DB02806
DB00022,DB03523
DB00022,DB04572
DB00022,DB04630
DB00022,DB04845
DB00022,DB04868
DB00022,DB04956
DB00022,DB05258
DB00022,DB05259
DB00022,DB05459
DB00022,DB05472
DB00022,DB05773
DB00022,DB06168
DB00022,DB06273
DB00022,DB06287
DB00022,DB06372
DB00022,DB06603
DB00022,DB06612
DB00022,DB06616
DB00022,DB06662
DB00022,DB06674
DB00022,DB06681
DB00022,DB06772
DB00022,DB06813
DB00022,DB08059
DB00022,DB08870
DB00022,DB08871
DB00022,DB08879
DB00022,DB08880
DB00022,DB08889
DB00022,DB08904
DB00022,DB08906
DB00022,DB08908
DB00022,DB08935
DB00022,DB08970
DB00022,DB09029
DB00022,DB09033
DB00022,DB09036
DB00022,DB09052
DB00022,DB09053
DB00022,DB09054
DB00022,DB09073
DB00022,DB09074
DB00022,DB09077
DB00022,DB09082
DB00022,DB09091
DB00022,DB09122
DB00022,DB09312
DB00022,DB09378
DB00022,DB09383
DB00022,DB11466
DB00022,DB11487
DB00022,DB11529
DB00022,DB11569
DB00022,DB11580
DB00022,DB11616
DB00022,DB11693
DB00022,DB11708
DB00022,DB11767
DB00022,DB11776
DB00022,DB11803
DB00022,DB11817
DB00022,DB11834
DB00022,DB11921
DB00022,DB11988
DB00022,DB12025
DB00022,DB12612
DB00022,DB12617
DB00022,DB12692
DB00022,DB12814
DB00022,DB12902
DB00022,DB12947
DB00022,DB12991
DB00022,DB12996
DB00022,DB13003
DB00022,DB13014
DB00022,DB13068
DB00022,DB13208
DB00022,DB13241
DB00022,DB13491
DB00022,DB13843
DB00022,DB13856
DB00022,DB13867
DB00022,DB14066
DB00022,DB14219
DB00022,DB14512
DB00022,DB14539
DB00022,DB14545
DB00022,DB14724
DB00022,DB14762
DB00022,DB14919
DB00022,DB15253
DB00026,DB00033
DB00026,DB00034
DB00026,DB00041
DB00026,DB00056
DB00026,DB00059
DB00026,DB00068
DB00026,DB00069
DB00026,DB00073
DB00026,DB00074
DB00026,DB00075
DB00026,DB00078
DB00026,DB00081
DB00026,DB00087
DB00026,DB00092
DB00026,DB00095
DB00026,DB00098
DB00026,DB00105
DB00026,DB00111
DB00026,DB00120
DB00026,DB00276
DB00026,DB00290
DB00026,DB00291
DB00026,DB00293
DB00026,DB00305
DB00026,DB00322
DB00026,DB00352
DB00026,DB00380
DB00026,DB00428
DB00026,DB00432
DB00026,DB00441
DB00026,DB00445
DB00026,DB00446
DB00026,DB00480
DB00026,DB00488
DB00026,DB00515
DB00026,DB00526
DB00026,DB00550
DB00026,DB00552
DB00026,DB00601
DB00026,DB00631
DB00026,DB00763
DB00026,DB00795
DB00026,DB00853
DB00026,DB00859
DB00026,DB00888
DB00026,DB00928
DB00026,DB00958
DB00026,DB00970
DB00026,DB01005
DB00026,DB01024
DB00026,DB01030
DB00026,DB01033
DB00026,DB01042
DB00026,DB01073
DB00026,DB01099
DB00026,DB01168
DB00026,DB01169
DB00026,DB01204
DB00026,DB01206
DB00026,DB01257
DB00026,DB01262
DB00026,DB01280
DB00026,DB01423
DB00026,DB01816
DB00026,DB02546
DB00026,DB02806
DB00026,DB03523
DB00026,DB05258
DB00026,DB05259
DB00026,DB05459
DB00026,DB05472
DB00026,DB06273
DB00026,DB06372
DB00026,DB06612
DB00026,DB06662
DB00026,DB06681
DB00026,DB06813
DB00026,DB08059
DB00026,DB08871
DB00026,DB08879
DB00026,DB08880
DB00026,DB08889
DB00026,DB08908
DB00026,DB08935
DB00026,DB09029
DB00026,DB09033
DB00026,DB09036
DB00026,DB09052
DB00026,DB09077
DB00026,DB09091
DB00026,DB09122
DB00026,DB09312
DB00026,DB11466
DB00026,DB11569
DB00026,DB11580
DB00026,DB11616
DB00026,DB11693
DB00026,DB11708
DB00026,DB11767
DB00026,DB11776
DB00026,DB11803
DB00026,DB11834
DB00026,DB11988
DB00026,DB12025
DB00026,DB12612
DB00026,DB12617
DB00026,DB12692
DB00026,DB12814
DB00026,DB12902
DB00026,DB12947
DB00026,DB12991
DB00026,DB12996
DB00026,DB13003
DB00026,DB13014
DB00026,DB13068
DB00026,DB13241
DB00026,DB13491
DB00026,DB13843
DB00026,DB13856
DB00026,DB14219
DB00026,DB14724
DB00026,DB14762
DB00026,DB14919
DB00026,DB15253
DB00033,DB00034
DB00033,DB00041
DB00033,DB00051
DB00033,DB00056
DB00033,DB00059
DB00033,DB00065
DB00033,DB00068
DB00033,DB00069
DB00033,DB00073
DB00033,DB00074
DB00033,DB00075
DB00033,DB00078
DB00033,DB00081
DB00033,DB00087
DB00033,DB00092
DB00033,DB00095
DB00033,DB00098
DB00033,DB00105
DB00033,DB00111
DB00033,DB00120
DB00033,DB00180
DB00033,DB00188
DB00033,DB00262
DB00033,DB00276
DB00033,DB00290
DB00033,DB00291
DB00033,DB00293
DB00033,DB00305
DB00033,DB00307
DB00033,DB00309
DB00033,DB00322
DB00033,DB00328
DB00033,DB00352
DB00033,DB00361
DB00033,DB00380
DB00033,DB00394
DB00033,DB00398
DB00033,DB00428
DB00033,DB00432
DB00033,DB00441
DB00033,DB00443
DB00033,DB00444
DB00033,DB00445
DB00033,DB00446
