drugbank_id,disease_id
DB09260,C0005136
DB09260,C0007766
DB09260,C0751003
DB09260,C0751005
DB09260,C0917996
DB09260,C0751004
DB09260,C0751001
DB09260,C2713497
DB15983,C0014544
DB15983,C0751111
DB15983,C0086237
DB15983,C0236018
DB01167,C0855095
DB03793,C0341742
DB13142,C0020437
DB13142,C0026141
DB13142,C1809471
DB13142,C1535536
DB01288,C4551472
DB01288,C0700053
DB01288,C1971648
DB01288,C0007194
DB08985,C0264878
DB04931,C0948807
DB04931,C0086565
DB15903,C5848306
DB15903,C5848305
DB06261,C5848306
DB06261,C5848305
DB00202,C0235834
DB06789,C0678222
DB06789,C0006142
DB09015,C0022661
DB09015,C1579030
DB09015,C1561643
DB00358,C0036572
DB00358,C1578448
DB01072,C2973725
DB09318,C0459853
DB01285,C5848257
DB01285,C0271737
DB01285,C0001403
DB00696,C0010068
DB00696,C0010054
DB00696,C1956346
DB00013,C0006118
DB00013,C0496899
DB00013,C0153633
DB00013,C1527390
DB00013,C0220650
DB00013,C0750977
DB00013,C0750974
DB00013,C0750979
DB13527,C0010474
DB13527,C0013295
DB13527,C4290200
DB13527,C0267251
DB13527,C0030920
DB04817,C4551627
DB04817,C1306872
DB04817,C0001824
DB04817,C0027947
DB04817,C1537246
DB09095,C0033777
DB09095,C1542415
DB12661,C0003855
DB00710,C0020598
DB00710,C1535536
DB13354,C0235063
DB00399,C0020598
DB00399,C1535536
DB09231,C0268186
DB06285,C0279530
DB06285,C0153509
DB00586,C0020461
DB00586,C5979967
DB13620,C0011175
DB13620,C1136135
DB00703,C0017605
DB00703,C1535232
DB00703,C0154947
DB00703,C0017606
DB13528,C0031556
DB13528,C0040046
DB00032,C0032019
DB00032,C0346300
DB00032,C0032000
DB00032,C0001432
DB06401,C0006142
DB00683,C0235195
DB01616,C0868560
DB01616,C0451636
DB01616,C0549206
DB00283,C0242205
DB00283,C1623040
DB00283,C1623041
DB11582,C0242205
DB11582,C1623040
DB11582,C1623041
DB01284,C5848257
DB01284,C0271737
DB01284,C0001403
DB15991,C1306571
DB15991,C0085605
DB04824,C3888418
DB04824,C0000737
DB12293,C0014544
DB01251,C0001623
DB01251,C0405580
DB00783,C1277190
DB09123,C0007222
DB09123,C0741923
DB09123,C1971640
DB09123,C1971641
DB13169,C0085605
DB13169,C1541855
DB00468,C0019061
DB06725,C0030922
DB01026,C2732979
DB16021,C1257877
DB16021,C0031511
DB16021,C4551683
DB16021,C1578905
DB16021,C1571912
DB04824,C0018801
DB04824,C1328273
DB04824,C2882277
DB04824,C0018802
DB04824,C0235527
DB04824,C1961112
DB04824,C0023212
DB00468,C0005681
DB00193,C0234972
DB00193,C0036572
DB01214,C0036980
DB13620,C0401151
DB13620,C1536807
DB13620,C0011991
DB15999,C0041296
DB00945,C0018802
DB00945,C1541842
DB00945,C1541843
DB08329,C0162565
DB09415,C3714618
DB09415,C0020550
DB09415,C1578637
DB09415,C1546327
DB17083,C0029459
DB17083,C0029456
DB17083,C0751406
DB17083,C0001787
DB01019,C0024799
DB01019,C0030920
DB01019,C1384631
DB01019,C1971686
DB01019,C1579179
DB00315,C0151744
DB00315,C0010054
DB00315,C2003997
DB15465,C0236124
DB13042,C0023890
DB13042,C1579182
DB00521,C0264906
DB01624,C0151559
DB01624,C0549249
DB00302,C0040038
DB00774,C0003460
DB03323,C0023895
DB03323,C0086565
DB03323,C0741485
DB00994,C0026918
DB00994,C0947738
DB00994,C1542571
DB06710,C0868560
DB06710,C0451636
DB06710,C0549206
DB14233,C0860006
DB14233,C0011175
DB15975,C0002874
DB15975,C1534248
DB13735,C0242205
DB13735,C1623040
DB13735,C1623041
DB06144,C4038788
DB09261,C0035309
DB09261,C0035333
DB09261,C1578675
DB01241,C0008312
DB16613,C0035078
DB15119,C0004364
DB15119,C0851816
DB09095,C0011630
DB03229,C2316810
DB03229,C1719537
DB03229,C0022661
DB03229,C0027498
DB03229,C0042963
DB13949,C0263680
DB13949,C0003864
DB01357,C0031556
DB01357,C0040046
DB08827,C0868560
DB08827,C0451636
DB08827,C0549206
DB00169,C0020437
DB00169,C0026141
DB00169,C1809471
DB00169,C1535536
DB15456,C0868560
DB15456,C0451636
DB15456,C0549206
DB13735,C1739363
DB13735,C2937421
DB13735,C1704272
DB09156,C3714618
DB09156,C0020550
DB09156,C1578637
DB09156,C1546327
DB22667,C0019693
DB22667,C4505456
DB22667,C1535437
DB22667,C3854222
DB15998,C0034063
DB13694,C0022081
DB13316,C0017605
DB13316,C1535232
DB13316,C0154947
DB13316,C0017606
DB08810,C1565489
DB08810,C0035078
DB08810,C0232807
DB01392,C0020649
DB13528,C0019209
DB08985,C0040156
DB08985,C1546327
DB08985,C1578637
DB08985,C0020550
DB00528,C0151766
DB00528,C0086565
DB09017,C0037315
DB09017,C0338495
DB09017,C4551689
DB09017,C1534531
DB09017,C0520679
DB01060,C0023895
DB01060,C0086565
DB01060,C0741485
DB01079,C4040547
DB13872,C0037315
DB13872,C0338495
DB13872,C4551689
DB13872,C1534531
DB13872,C0520679
DB00572,C4761103
DB00572,C0026896
DB00572,C0751339
DB00572,C0751340
DB00921,C0868560
DB00921,C0451636
DB00921,C0549206
DB00986,C0178879
DB16539,C0267938
DB16539,C0267937
DB16539,C0001339
DB13528,C0027051
DB13528,C0010072
DB13528,C1534922
DB13528,C1534921
DB00708,C0236124
DB13787,C0524662
DB13787,C0494376
DB13787,C1510472
DB01136,C0151517
DB09261,C0852077
DB00669,C0010054
DB00669,C1299433
DB00669,C1956346
DB00669,C0852153
DB00669,C0852149
DB00669,C2003996
DB09093,C0042769
DB09093,C0948998
DB09093,C0949096
DB03793,C0026269
DB03793,C0264766
DB00682,C0868560
DB00682,C0451636
DB00682,C0549206
DB08621,C0042769
DB08621,C0948998
DB08621,C0949096
DB01255,C0017601
DB01255,C0851705
DB13803,C0149896
DB13803,C2712871
DB13803,C1619733
DB13803,C0003868
DB13803,C0018099
DB13803,C0221168
DB01426,C0151878
DB01426,C0855333
DB13528,C0022350
DB13354,C4761103
DB13354,C0026896
DB13354,C0751339
DB13354,C0751340
DB15790,C0010068
DB15790,C0010054
DB15790,C1956346
DB15303,C0015403
DB15889,C0027497
DB15889,C2910396
DB09038,C2316810
DB09038,C1719537
DB09038,C0022661
DB12661,C0003507
DB00799,C0868560
DB00799,C0451636
DB00799,C0549206
DB01225,C0272285
DB01208,C0868560
DB01208,C0451636
DB01208,C0549206
DB14678,C0023903
DB14678,C0345904
DB01359,C0004245
DB01359,C0018794
DB16000,C3887134
DB01403,C0009421
DB01403,C0860634
DB00969,C0010346
DB00969,C0156147
DB00969,C0678202
DB00969,C0678201
DB00969,C1542621
